Day #,Day/Month,Temp
1,1-Jan,8.447
2,2-Jan,8.406
3,3-Jan,8.366
4,4-Jan,8.326
5,5-Jan,8.288
6,6-Jan,8.25
7,7-Jan,8.213
8,8-Jan,8.177
9,9-Jan,8.142
10,10-Jan,8.108
11,11-Jan,8.074
12,12-Jan,8.042
13,13-Jan,8.01
14,14-Jan,7.979
15,15-Jan,7.949
16,16-Jan,7.92
17,17-Jan,7.892
18,18-Jan,7.865
19,19-Jan,7.838
20,20-Jan,7.813
21,21-Jan,7.788
22,22-Jan,7.765
23,23-Jan,7.742
24,24-Jan,7.721
25,25-Jan,7.7
26,26-Jan,7.681
27,27-Jan,7.662
28,28-Jan,7.644
29,29-Jan,7.628
30,30-Jan,7.612
31,31-Jan,7.598
32,1-Feb,7.584
33,2-Feb,7.571
34,3-Feb,7.56
35,4-Feb,7.549
36,5-Feb,7.54
37,6-Feb,7.531
38,7-Feb,7.524
39,8-Feb,7.517
40,9-Feb,7.512
41,10-Feb,7.507
42,11-Feb,7.504
43,12-Feb,7.502
44,13-Feb,7.5
45,14-Feb,7.5
46,15-Feb,7.501
47,16-Feb,7.503
48,17-Feb,7.505
49,18-Feb,7.509
50,19-Feb,7.514
51,20-Feb,7.52
52,21-Feb,7.527
53,22-Feb,7.535
54,23-Feb,7.544
55,24-Feb,7.554
56,25-Feb,7.565
57,26-Feb,7.578
58,27-Feb,7.591
59,28-Feb,7.605
60,1-Mar,7.62
61,2-Mar,7.636
62,3-Mar,7.653
63,4-Mar,7.671
64,5-Mar,7.69
65,6-Mar,7.711
66,7-Mar,7.732
67,8-Mar,7.754
68,9-Mar,7.777
69,10-Mar,7.801
70,11-Mar,7.825
71,12-Mar,7.851
72,13-Mar,7.878
73,14-Mar,7.906
74,15-Mar,7.934
75,16-Mar,7.964
76,17-Mar,7.994
77,18-Mar,8.026
78,19-Mar,8.058
79,20-Mar,8.091
80,21-Mar,8.125
81,22-Mar,8.16
82,23-Mar,8.195
83,24-Mar,8.232
84,25-Mar,8.269
85,26-Mar,8.307
86,27-Mar,8.346
87,28-Mar,8.386
88,29-Mar,8.426
89,30-Mar,8.467
90,31-Mar,8.509
91,1-Apr,8.552
92,2-Apr,8.595
93,3-Apr,8.639
94,4-Apr,8.684
95,5-Apr,8.73
96,6-Apr,8.776
97,7-Apr,8.823
98,8-Apr,8.87
99,9-Apr,8.918
100,10-Apr,8.967
101,11-Apr,9.017
102,12-Apr,9.066
103,13-Apr,9.117
104,14-Apr,9.168
105,15-Apr,9.22
106,16-Apr,9.272
107,17-Apr,9.324
108,18-Apr,9.378
109,19-Apr,9.431
110,20-Apr,9.485
111,21-Apr,9.54
112,22-Apr,9.595
113,23-Apr,9.65
114,24-Apr,9.706
115,25-Apr,9.762
116,26-Apr,9.819
117,27-Apr,9.876
118,28-Apr,9.933
119,29-Apr,9.99
120,30-Apr,10.048
121,1-May,10.106
122,2-May,10.165
123,3-May,10.223
124,4-May,10.282
125,5-May,10.341
126,6-May,10.4
127,7-May,10.46
128,8-May,10.52
129,9-May,10.579
130,10-May,10.639
131,11-May,10.699
132,12-May,10.759
133,13-May,10.819
134,14-May,10.88
135,15-May,10.94
136,16-May,11
137,17-May,11.06
138,18-May,11.12
